tweet || sentiment
"هل اوحي الى الملك من السماء بتحليل قيادةالمرأه لسياره !! ام انه انتصرعلى شرع الله (بملكه)افتونا ياعلماءالبلاط الملكي ، يلا انبسطو  || no			
شاء من شاء وأبى من أبى  || yes			
لرجال اللي شادين حيلهم > تراه قرار ولست امراً || yes			
ما ادري ليش كل هذي الفرحه والله زملاء نتضارب مين يوقف السيارة ويطلع مع الثاني ترا السواقه تعب وتركيز وسماجه غباء || no			
بخصوص العيال اللي معترضين وشادين حيلهم وضياع ومادري شنو،الضياع انت اساسه اذا احترمت نفسكك الدنيا بخير   || yes			
لنفكر بطريقة إيجابية،الذي سوف يقتنص الفرص التجارية التي ستبدأ مع قرار قيادة المرأة قد يكون هو الرابح الاكبر وطني الغالي لاداعي للريبة والقلق من التغيرات التي تصب في صالح المجتمع ولا تخالف عقيدتنا السمحاء سر ياوطن حنا معك  || yes		
قرار تاريخي للمرأه || yes			
انو انتصاااااار هذااااا حق من حقوقهاااااا النساء كانو بربع عقل كيف يسمحون لهم بالقياده الشيء الأكثر لمعاناً في القضية : شجاعة الملك سلمان في إتخاذ القرار،رجل عايش جميع مراحل تغير المجتمع،يجب أن نثق  || yes			
المهم بتاريخ 10/10 على السادة الرجال التزام المنازل وعدم التجول حفاظا على سلامتهم (اتركوا الميدان لحميدان) || yes			
القرار طبيعي وغير إلزامي لمن لا يرغب وهو من متطلبات المرحلة وتطورات الحياة وكان متوقعا صدوره دون أدنى مفاجأة   || yes			
الحمدلله الا بلغني هاليوم .. بديت أرتاح للبلد كبلد أما مجتمع باقي علينا ننتظر حتى يتبين لنا العقلاء سئمنا الجهلاء لأن الغالبية كذلك  || yes								
خبر جميل .. الله يستر عليكم من عيال الحرام .. || yes			
احلى يوم في حياتي بابا لو سمحت هدية تخرجي سياره || yes			
كم أنت عظيم يا سبتمبر! شهر الاحتفال الوطني.. وشهر الانتصار للمرأة.. وشهر وجودي في هذا العالم.. ... اكثرر قرار أحززني ولكن نقول اللهم سلم سلم  || yes			
قرار تاريخي يوم تاريخي سجل ياتاريخ ملك الحزم والعزم حل اقدم مشكله بتاريخ المملكه اختلف عليها السعوديين اللهم انا نسألك خير هذا القرار وخير ما جاء به ونعوذ بك من شره وشر ما جاء به اللهم احفظ بلادنا وامننا.  || yes			
مبروك لناا اخيراا مابغوا  || yes					
كون اخلاقك ياعديم الرجولة لم تمنعك من الضرر بسمعة ابنة بلدك لمطالبتها بحقها كما انت جاء من يلجمك بقراره وكفى || yes			
الله يبارك ف الملك سلمان وولي عهده والحمدلله الحمدلله حمدا كثيرا والله إني خايف بكرة اروح اخطب ويقولون المهر سيارة وظللها بالله  || yes						
:عبي فل :احمر ولا اخضر :مافي الوان ثانية؟؟؟ هذا كلامي من زمان ومَ تغير هو نفسه ! اللي مَ يبغى اهله يسوقون يمنعهم وانتهينا بطّل تنابح في تويتر مثل الكلب  || yes			
اتعجب من الذين يصورون القيادة على انها خلع للحجاب نحن في دوله مسلمة حتى وان قادت المرأة ستبقى بكامل حجابها   || yes			
يوم مجيد عظيم في تاريخ المملكة التاريخ يصنعه الرجال .. شكرا   || yes			
اللهم لك الحمد والشكر على البلاغ دحين كل فرحانين بالتاق بتسوقو ؟  || yes			
"اذا عرفت من كان يطالب بقيادة المرأة ، ستعرف لماذا يتشاءم المجتمع ويعارض ، اسأل الله ان يهدي الضال حتى ريهانا تبارك || no		
الحمدلله ملكنا الملك سلمان الله يسلمك والا كان علوم أنا أعلمك ههههههههه. سقط المجتمع الذكوري وبدا المجتمع الصحيح المساوي ذكر وانثى ولتبقى السعوديه دائماً ناجحه  || yes			
وجاء بوقته هالقرار الحمدلله لابد لليل أن ينجلي ولابد للقيد أن ينكسر صدر القرار ولاماصدر ماتسوق الا اللي ماوراها رجاجيل انتهى الموضوع .  || yes			
أقول لمؤيدي القرار أنه سلبي أكثر من أنه إيجابي صراحةً وراح تشوفون حالات التحرش وخل قانون التحرش ينفعها!   القرار مافيه شي بس عيالنا همج مابيخلون وحده ف حالها يا صديق واحد لاتيه اخلص علينا ورآنا محاضره.   || no			
فرحانيين مع المراة لقيادتها السيارة .. لكن من اتذكر لجين الهذلول تندبل تسبدي ُـل اللهم احفظ المملكه واحفظ لنا سلمان الحزم وأجعل هذا الأمر فيه الخير والصلاح وأصرف عنا شر الفتن يارب..   || no					
قرار جميل ولكن هناك ما هو اهم البطالة والفقر تستشري في المجتمع .. اعداد العاطلين مهول وفِي ازدياد !!العطاله شبح الوقت والعمل والمسئوليات تفرض هالشي ماشالله خوووش خبر لهم ووو لههههن ي يلا تركدو مو ماراثون  || yes			
مبرووووووووك أجمل خبر صحيت عليه الحمدلله شهدت على هاليوم المبارك   || yes			
وداعاً السواويق وداعاً اوبر وداعاً كريم وداعاً الى الابد بالقريب العاجل يمكن ما استانس للقيادة بس عشان الهمج المستانسين انه القرار نزل ومشى لمطالبهم ياماما هذا قرار دولة ومجلس وزراء  || yes			
الف مبروك للمرأة القيادة ولكن اتسائل كيف راح يكون نظام المرور الجديد! انا مع التحربه !  || yes			
شر لابدمنه ومع مرور الوقت بيصير فيه تقبل للوضع حاله حال كثير من الامور السابقه خبر جميل ويفيد الاغلب خصوصا الارامل والبنات اللي يضطروا للسواقين بدون رغبتهم .. اطال الله في عمر ملكنا أن الذين يحبون ان تشيع الفاحشة في الذين آمنوا لهم عذاب أليمٌ في الدنيا والآخرة والله يعلمُ وانتم لا تعلمون  || yes			
في ما مضى كان علماء مايسمى بالسعوديه يفتو بان قيادة المرأه لسياره محرم شرعا واليوم الملك انتصر للمرأه هل اوحي .. قرار تاريخي وخطوة في طريق التطوير الشامل للوطن الكبير  || yes											
لكل المعارضين في الهاشتاق سنه او سنتين وبترضون تسوقون دائماً اي قرار في مصلحة النساء يقابل بالرفض وبعدها تتقبلون  || yes			
يوم تاريخي يؤسس لمرحلة جديدة. مبروك لنساء وطني   || yes			
انبسطوا هذا يومكم لاتخلون أي أحد يسرق فرحتكم أحلى خبر لهذا العام ، و القادم أفضل و تمكين المرأة الحقيقي قادم.   || yes			
الف مبروك لنا وباقي الروادع  ع تجنيدهم بالعسكريه والقوانين المناسبه  || yes			
التغيير لا يتم باتفاق الجميع، ولكن الاهم هو اعطاء كل ذي حقٍ حقه،وللمرأة حقوق كثيرة اهمها ""حق الاختيار"" بالقيادة  || yes				
مساكين الحريم مستانسين وهم مايدرون عن خوافي هالسواقه الي رح تكون نقمة وتضيع شرفكم وتصيرون سلعة رخيصة عند الشباب  || no			
الشيوخ الذين أفتوا بحرمانيه قيادة المرأه للسيارة ما عساهم أن يفعلوا اليوم ؟ - شكراً من القلب  || no			
قرار رائع تاخر كثيرآ لكنه استحقاق وتستحقه المراه عن جدارة شكرآ خادم الحرمين لأنها أميره وملكة ومُرفهه : السيدة السعودية لا تقود السيارة! ماذا حصل الان !؟  || yes					
كل شيء بالبداية بدا غريبا حتى الاسلام و لاننسى الاغلب كانوا ضد تعليم المرأة وانه بؤره للفساد وبالاخير اقتنعوا  || yes			
مع اني بنت لكن ما اعجبني هالقرار اللهم اني استودعتك نفسي واهلي من كل الفتن .  || no			
اغلب البنات الي مسوين زحمه وفرحانين امعه بس تقليد الحين صارت الحريه للمرأه انها تسوق سيارة والله انكم مجتمع فاشل   || no			
مبرووگ عليگم يا بنات المملكه .. يلا عاد شدوا حيلگم شوي خل يفتحون سينما :: (( نصيحة تكتب بماء الذهب ))   || yes			
بعد صدور قرار برفع الحظر عن قيادة المرأة هل ستسمح لأهل بيتك بالقيادة اتمنى اقل شي يستثنو مكه و المدينه واعتقد اغلب الشعب ضد هالقرار لانهم رجال ما يرضون على اهلهم قيادة السياره صحيح ؟  || no			
سألوه: هل ستقود المرأه السياره؟ فأجاب: ستقود اذا لم يكن هناك رجال!!! الله يرحمه  || no			
قرار تاريخي !!  || yes
مهما صار هذا قرار ملكي ومن هيئة كبار العلماء وأكيد فيه الخير يارب  || yes			
ترا النساء في كل دول العالم تسووق سياره ماعد الا نحن ليش مستغربيين سياقة المرأه وكانه شي غريب وتحطوا نكت كلنا سلمان كلنا محمد  || yes			
عاش سلمان ملكنا عاش سلمان قرار تاريخي مهم سينتفع منه كثير من العوائل لقضاءحوائجهم بدلاًمن الدفع للسائق الأجنبي  || yes			
من لا تستطيع القيادة لظروف مادية او إجتماعية ستجد مرأة مثلها تنقلها من خلال تطبيقات شركات النقل وليس رجلاً  || yes			
الف الف مبروك السماح بالقياده للنساء    || yes
شكل السعودية المناضله اليوم.. تم صفع الدرر المصونه من قِبل المناضلات مبروووك للسعوديات حبيباتي انتصرن   || yes			
للاسف ملكنا لم ينتصرر القياده ليست مناهتماتتا لو يريدان ينتصر للمراه يامن لها بيت ووظيفه وليست قياده قرار فاشل هذي القرارات   || no			
يبارك فيك والله بطير من الفرح   || yes
الامر من مجلس الوزراء وليس من الملك. وباذن الله سوف يلغيه سلمان الحزم...  || no			
"الف مبروك اتمنى من المرأه ان تتعلم القياده داخل المناطق المعروفه وان لا تمسك طريق سفر لكثرت الحوادث اخيرا انتصر الحق و زهق باطل ال سعود وخضعوا للنساء في السعودية ، اخيرا نلتِ مرادك يا اختاه ، و ليخسأ المتربصون  || yes		
تقبل علي زوجتك وامك واختك وابنتك تركب مع السواق متعطره ورايحه العرس او توافق علي ان تكون لديها رخصه قيادة مركبه فرحةالشعب يوم سمعت الخبر   || yes			
اهنئ المرأه السعوديه وأسئل الله أن يكون هالامر السامي الكريم خير للمرأه أولاً ولذويها في جميع مستلزمات الحياه لا يالعزيزه ابشري وين تبغين وانا معك نقضي مشاويرك سوا .. لأن معصي اخليك يومٍ تسوقين مادام لي راسٍ .. يشم الهوا  || yes			
إنتصروا : - لحل أزمة السكن - لتوظيف العاطلين - لحل الأزمات المالية لدى الشعب - للزيادات المستحقة للموظفين !؟  || no			
مبروك يابنات.  || yes
نحن واثقين من قيادتنا وهذا الأمر أتى بعد دراسة  || yes			
قرار سلبي وايجابي في نفس الوقت كيف لا تسألني. مبروووووك للمرأة بالنسبة للي مسوين لا البنت ماتسوق حبيبي طبّق لسانك على خواتك و اهلك بنات الناس مالك دخل فيهم.  || yes			
سبحان الله ربي اسقط عنها وجوب الخروج لصلاة الجماعة والآن تخرج لتقود السيارة ( اللهم احفظ بنات المسلمين ).  || no			
السعودية تسمح للمرأة السعودية بحرية السياقة فمتى تسمح للرجال السعوديين بحرية الكلام اللهم اكتب بما فيه الخير والصلاح للبلاد والعباد  || yes			
الف مبروك لبنات وطني وتستاهلون والله خلكم تعتمدون على انفسكم بدون منة احد ومن شحططة كريم وغيره اخيييراً المكافأه كلها ماتروح ع واحد غريب وينفخ ولا كانه يندفع له قريباً … الشرطة النسائية مطلب شعبي … التناقض ديدنهم   || yes			
كويس أن عندي خبرة بالسواقة  || yes					
بايعنا الملك  على السمع والطاعة في المنشط والمكره .. مبروك لكم ولنا طريجنا صار مفتوح لكل الخليج  || yes			
اسال الله العلي القدير ان يجعل في هذا القرار خير وبركة لبلادنا وان يجعلنا كفئ لهذه النعمة مبروك لكل أهل السعودية حفظتم على بناتكم وزجوتكم بهذا القرار ليش كانت تركب مع الغريب وهي تقدر تسوق  || yes			
على فكرة ترى القرار مو إجبار اللي ماتبي تسوق بكيفها بعد لهم النواح .. ولنا الفرح .. اللهم لك الحمد و الشكر .. الله يرحم العلامة الشيخ ابوعبدالرحمن محمد الالباني رد بإسلوب يفهمه الجميع حتى اصحاب العقول المتحجرة لأن ذلك أمر خطير يفتح أبواب الشرور -هذا زمان أما الآن فيفتح أبواب النعيم   …  || yes			
أمر قيادة المرآه شأن داخلي بدولة لا يحق لنا الخوض فية لكن نتمنى من الله أن يديم الامن والامان للخليج كافه مبروك .. لكل أم و اطفالها لكل طالبة ستذهب لجامعتها لكل طبيبة ستذهب لإنقاذ شخص لكل فتاة تُعيل اسرتها . خلصنا من سالفة ماعندي شحن وبدات مافي سيارتي بترول  || yes			
نبارك هذا القرار التاريخي ونعمل ونتواصل من أجل مجتمع مثقف ومنفتح أين أنت الآن أيها المفسي؟!!! السلاطين هم نكبة الأمة ..   …  || yes			
أفضل قرار صدر خلال عشر السنوات عاش سلمان عاش سلمان شو بالنسبة للقرف؟؟ بني جهل أول امرأة طارت للفضاء في عام 1965اسمها تريشكوفا بنت آل صهيون بتسوقF16 الحربية  || yes			
ممكن ننسى كل تغريدات واراء المعارضين الا الغدة لا يمكن نسيانها أو التجاوز عنها حافضن على الغدة ياصبايا   || yes										
سأسعى جاهداً في خدمة الأمر السامي وافتتاح مركز خدمات خاص بسيارات النساء قرار تاريخي ويصب في المصلحة العامة  912799628621484033 …  || yes			
مو قادره اعبر من فرحتي المعارضين لقيادة المرأه هم م عارض الابتعاث الخارجي واذابهم يسمحون لبناتهم بذلك بكره يسابقونا ع المعارض  || yes			
الي كانوا معارضين وصاروا حابين الفكرة. نفس الشي بيسير اذا تم اعتماد السينما  || yes									
مافيه شي شرعا يمنع و ياخي الي مايبي اهله يسوقون لا يخليهم يسوقون . ماحد حاس بالسعوديات الا هم نفسه  || yes			
مبروك للمرأة السعوديه مبروك للمناضلات مبروك للثائرات ومبروك لرجال دعموا حق أخواتهم و بناتهم و زوجاتهم. وضعيه المتزوجين الان   || yes			
نبارك لكم يا السعوديات وزوارتنا لكم قريبا  || yes			
الحمدلله وصرنا نقضي أشغالنا با أنفسنا وعدم الأتكال على احد شكراً   || yes			
كلها مدة بسيطة وتصير عادية وننتظر اللي بعدها اتوقع السينما قريبة جدا.  || yes			
مبروك لنساء بلاد الحجاز ونساء الوهابي زوجك/اخوك/ابوك يقول شايفك ياللي قاعد تمسح تويتاتك ضد وقالها ويقولها المجتمع: نعم نرضاها !! .   || yes			
"هذا ما يحتاجه الوطن، ملف ازعجنا كثيراً، اليوم يحسم، ويبقى القرار الاسري بيد الاسرة. السعودية تتنفس الحياة راحت على الباب الأيمن فوق مكسيما والشاص عيا حلال القوم يلحقها  || yes			
وسيكتب التاريخ المشرق انه في يوم الثلاثاء ٢٧ - ٩ -٢٠١٧ تم السماح للمراءه بقيادة السياره منذ عام ١٩٩٠   || yes			
سقنا سقنا والا ماساقوا جا الامر وساقوا سقنا قبلهم وهما دحين ساقوا من قائل البيتين أعلاه الليلة سعودية بامتياز... خلونا نفرح لكم وبكم...   || yes			
مبروك .. حقهم الشرعي وايضا لتجنب التحرشات والاعتدائات .  || yes			
عزالله انه قرار يضيق الصدر بيفتح علينا باب شر نحن في غنى عنه  || no			
اشتدي ازمة تنفرجي مبروووووك للمعلمات الف مبروووك لأمي و اخواتي و بنات الوطن  || yes			
الف مبروك للمرأة السعودية هذاالقرار والذي لطالما طالبنا به  || yes			
يوم تاريخي للمرأة السعودية إعلان ذكي .   || yes			
_ شكلي وانا اقهر كل سعودي بالتويتر ضد قياده السياره للبنات   || yes			
مبروك بنات السعوديه اللي معارضات للسواقه خن نشوفكم تسوقن متى دورنا في قرار مفرح لنا احنا الشباب اللي بعدوووه   || yes					
قرار صائب بضوابط الشريعة أفضل من الخلوة مع السائق  || yes			
لكل بنت أتمنت في يوم إنها تكون ولد .. العائق زال ألف مبروك أنت أنثى حرة بلا قيود المفروض يسوون لكم حزام بالعرض لانه مع الديود بيطلع شكلكم كذا ٪ اتوقع بعد كم سنة البحرينيين يروحون السعودية بالويك اند يفلونها ام امها... اضافة ما للقرار من إيجابيات على المرأة والعائلة السعودية فإن الدولة يمكنها الإستغناء عن نصف مليون سائق  || yes			
الامير الرجل الشجاع الذي يحارب من أجل التغير والتطور القرار اختياري وليس اجباري استغرب الانزعاج والتهويل من البعض -كن راقيا واحترم رغبات الأخرين. صدعتوا روسنا بدرء المفاسد درء المفاسد الحين صارت جلب المفاسد و درء المصالح وش الله حادك على التناقض ويحوص حوصت الثعلبِ   || yes						
مبروك ... الله يعطيكم خير هالقرار ويكفيكم شره .  || yes			
ارتاحو من الاستقدام والعناء والسواويق الف مليون مبروك لهم.  || yes			
مبروك ل صديقاتي الحين تقدرون تسيرون علي براً وارجع معاكم ونكمل لي دبي ونسوي رالي بعد  || yes			
انتصار الهلال على بيروزي وانتصار المراءه بالقياده* *انه اليوم العالمي للمراءه *   || yes			
أهم مافي الموضوع أن قرار المنع كان سياسياً ، حُمِّلَ على الشرع زوراً وبهتانا .  ينصر دينك ياشيخ الله اكبر يا الدنيا بنسوق وللحين الهلال ماوصل للعالميه اخضع واركع للغرب ،، كان من اول المفروض ليش انتظرتوا الغرب يجبركم صحيح ان يعتبر قرار (تاريخي) !! لأن المرأة_العراقية كانت تقود قبل 6000 عام   || yes			
من ناحيتي اشوف قيادة المرأه أمر بسيط وحق مشروع وتخفيف الاحمال عن البعض  || yes			
المراءة في السعوديه ليس آقل من نطيراتها الخليجيات بس بعرف شنو وضعه الان  12778487127318529 …  || yes			
مبروك للمرأة السعودية .. هانت باقي السينما وتسافرون بدون أذن أحد  || yes			
الف الف مبروك لكل انسانة حرة بالسعودية ولا عزاء للحاقدين الف مبروك اخوتي  || yes			
أنت المسئول عن أهلك وليس الدولة.  || no			
"الحمد لله، يعني استغناء عن عمالة وتوفير فرص وظيفية للنساء || yes		
"بهذا اليوم التاريخي، أتلقى التهاني والتبريكات من الجميع خصيصاً أصدقائي الأجانب. ليكن باب ذرائع والانشاء المعهود. أهم شيئ الخلاصة. المفروض اول مرة تسوق تكتك .. مبروك للمرأة السعودية  || yes			
أمر سامي من ملك معظم سامي وقدره عالي. Trust me راح تصير   || yes			
"الف الف مبروك لجميع الأخوات السعوديات علي هذا القرار... في اوله بس هيكون صعب بس إنشاء الله هيكون افضل اخيرا سيقول العالم كله للسعودية "" مرحبا بكِ في القرن ٢١ "".  || yes			
هل نظاما اقدر اسوق من الحين بما ان معي رخصه امريكيه ؟ حـاجزه موقف لصاحبتهــا . .   || yes			
تاريخ جديد وبدايه موفقه. اللي باقي ماطقطق يطقطق عشان نقفل الموضوع. الشعب السعودي شعب عظيم وموهوب ظراقه مو طبيعيه والله انا محظوظه اني انتمي لهالشعب اهم حاجه لما تخبطلي العربية من ورا ما تقولس ياوجه البرص ايه اللي وقفك فجأه  || yes			
شأن داخلي وليه مشغلين نفسكم.. ترى يصير احنا نسوق في السعودية خدمات تعليمية للمعلمين والمعلمات وطلبة الجامعات   || yes			
مغردون يشيدون بالقرار السامي في منح المرأة رخصة قيادة  شكراً للبقرة التي حجت على قرونها السنة الماضية  || yes			
إرادة الحياة تنتصر في وطننا ..!  || yes			
قرار منطقي و إنساني هناك عائلات لا يوجد فيها رجال ف صعب عليها تعتمد بالتنقل على غريب . الو بابا : تعال اخذني يقولون حريم لاء .   || yes			
انا معارض فقط على قيادة بسبب الزحمه الرياض مانقدر نشمي على دومات الان تخيل تسوق المرأة كارثه  || no			
عزيزتي المرأه تعديل نقابك سبب انقلابك مع تحيات المرور  || no
والله افضل من اروح مع سواق لحالي الله يعطينا خيرها ويكفينا شرها  || yes			
بالأمس الاختلاط واليوم السماح بالقيادة و غدا فتح المراقص والحانات وعلى الدنيا السلام اجل بكرى هيون بتعلن لمحطة بنزين مررره كيوت بنزينهم وفيه الوان حسب ذوقك يعني طز برب الاسره رضيت مارضيت وهي تبي تسوق وتطلع رخصه كيفها !!!! خووووش والله ...   …  || no			
"خبر الموسم بلا منازع.. الأمور بدأت تتسارع وإن شاء الله لما هو خير وتقدم لهذا البلد من أعمال متجرنا،مصنوعة يدوياً بكل حب بالإمكان تنفيذ الدمى بمواصفاتكم الخاصة   || yes			
فعليا... لا يوجد دستور يمنع المرأة السعوديه من القياده.. انها العاهات و التقاليد... هذه هي قوانينكم  || yes			
التشنج في الردود لن يثني المقام السامي عن القرار. لذا اهتم في شأنك ودع عنك الاخرين.  || yes			
مبروك .. لكل أم و اطفالها لكل طالبة ستذهب لجامعتها لكل طبيبة ستذهب لإنقاذ شخص لكل فتاة تُعيل اسرتها . :فلانه اشترت مثل سيارتك   || yes			
"يللا مسامحينكم في التريقة والبهللة ألف مبروك للنساء السعوديات وبالأخص للحقوقيات لفوزهن بمعركتهن بقيت أفغانستان وحيدة بلا سياقة للمرأة مبروك .. لكل أم و اطفالها لكل طالبة ستذهب لجامعتها لكل طبيبة ستذهب لإنقاذ شخص لكل فتاة تُعيل اسرتها . بهذه المناسبة لا يسعني الا ان اهني انفسنا نحن معشر الرجال. اشهر قلبلة وتتوقف عبارة خذ، ود، جيب دشو قوقل واخذو الصور .   || yes			
مبروك للمرأة السعودية قال الأمير نايف بن عبدالعزيز (إن الذين ينادون بحرية المرأة لا يريدون حريتها بل يريدون حرية الوصول إليها)  || yes			
الحمد لله بنات اختي مراح يشوفون المرمطة اللي شفناها انا وامها اللي يعارض رح ينقص شاربه  || yes			
مبروك للجميع يوم تاريخي للملكة  || yes			
مبروك .. لكل أم و اطفالها لكل طالبة ستذهب لجامعتها لكل طبيبة ستذهب لإنقاذ شخص لكل فتاة تُعيل اسرتها . حاجزه موقف لخويتي   || yes			
نبارك للخوات في المملكة العربية على هذا القرار ونتمنى لهم التوفيق والمزيد من التقدم.  || yes			
النساء جديرات بالقيادة   || yes			
مبارك لهذا الوطن الذي ينتصر لكل مكونات شعبه.. مبارك للمرأة صبرها ونيلها لحقها سؤال للرجال هل توافق على قيادة زوجتك أو اختك أو بنتك ؟ رحم الله الأمير نايف   || yes			
امي زعلانه علي من يفهمها ان القرار صدر من الملك مو مني  || yes			
- قيادة المرأة خيار لا إجبار - قيادة المرأة احتياج لا رفاهية.   || yes			
الف مبروك يا نساء السعودية اثبتوا انكم قدها الله لا يهينكم ..   || yes			
قيادة المرأه ما اشوف فيها غلط او حرام لكن الغلط تلون شيوخ الدين حسب مزاج السلطان  || yes			
"Mabrouk  and keep it up! ترى قيادة المراه مو اجبارية ع كل شخص هي حرية شخصية ، كن راقيًا واحترم رغبات وحقوق الاخرين  || yes		
مبارك للسعوديات ! وش تنصحوني فيه بأي سياره  || yes			
تحية لكل إمرأة ناضلت من أجل حقوقها معزومه على حفله   || yes			
نبارك لأخواتنا النساء في المملكة على قرار والله الكامري عمليه و المكيف بارد لين تعلمين عدل أبغى بي ام   || yes			
"احفظوا هذا التاريخ جيداً ٢٧ سمبتمبر ٢٠١٧، في هذا اليوم سُمح للمرأة السعودية بقيادة السيارة. مقال قديم يحتوي على بعض من الشروط التي كانت أُقترحت سابقًا.. هل الآن يتضمن هكذا شروط؟   || yes		
اجمل خبر في هذا المساء من اللحين لازم اتدرب واطلع الرخصه  || yes			
مبروووك لنا وعقبال باقي حقوقننا الانسانية اللي كانت تقول انا ملكة و ما أسوق اول وحدة بتروح تطلع رخصة بزنس السيارات سيشهد قفزة مجنونة في بعد .. شدوا حيلكم يابتوع بزنس .. يا هوو يا عالم  || yes			
"قرار تأخر كثير لكن الاهم انه جاء، عقبال مانتخلص من رؤية النساء بشوارعنا وهن برفقة سائقهن الا محرم الاجنبي  || yes		
نبارك للمرأة السعودية على هذا القرار  || yes
مبروك يا صبايا نسأل الله أن يؤتينا من خير هذا القرار ويكفينا من شرّه...  || yes			
قرار صدر من ولي الأمر.. ونحن دولة تحكم بكتاب الله وسنة رسوله.. لو انه حرام شرعاً او فيه شر لنا لما صدر  || yes			
